Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/first,2500,1169,85,21081,4004.33,3.720%,24.62132,7.38,2.94,307.0
/get_method,2500,1183,85,21081,3986.94,3.720%,24.62351,6.73,3.45,280.1
/user_info_2,2500,1088,86,21073,3764.40,3.280%,24.61114,13.14,5.72,546.5
/user_info_3,2500,1183,83,21082,4032.62,3.800%,24.60654,11.29,5.69,469.7
/object_info_1,2500,1114,85,21075,3824.53,3.360%,24.59807,7.86,3.78,327.0
/object_info_2,2500,1099,84,21078,3809.79,3.320%,24.59928,13.15,3.81,547.4
/object_info_3,2500,1162,85,21068,3946.56,3.560%,24.57872,14.63,3.80,609.7
/object_info_4,2500,1091,84,21072,3807.69,3.320%,24.58186,7.99,3.81,332.8
TOTAL,20000,1136,83,21082,3898.57,3.510%,195.35829,81.56,32.75,427.5
