Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/first,500,110,86,175,18.46,0.000%,35.96087,7.52,4.46,214.0
/get_method,500,109,86,172,17.21,0.000%,36.08545,6.55,5.25,186.0
/user_info_2,500,109,86,167,16.14,0.000%,36.12717,16.69,8.68,473.0
/user_info_3,500,109,84,175,17.89,0.000%,35.97381,13.38,8.64,381.0
/object_info_1,500,109,84,171,17.61,0.000%,35.96864,8.57,5.73,244.0
/object_info_2,500,109,84,174,17.07,0.000%,35.94536,16.60,5.76,473.0
/object_info_3,500,109,85,175,17.67,0.000%,35.97640,18.69,5.76,532.0
/object_info_4,500,109,84,167,17.67,0.000%,35.94020,8.81,5.76,251.0
TOTAL,4000,109,84,175,17.48,0.000%,273.52298,91.95,47.51,344.2
